date,date,state,fips,cases,deaths
2/19/2020,0,Arizona,4,1,0
2/19/2020,0,California,6,7,0
2/19/2020,0,Illinois,17,2,0
2/19/2020,0,Massachusetts,25,1,0
2/19/2020,0,Nebraska,31,10,0
2/19/2020,0,Texas,48,2,0
2/19/2020,0,Washington,53,1,0
2/19/2020,0,Wisconsin,55,1,0
2/20/2020,1,Arizona,4,1,0
2/20/2020,1,California,6,8,0
2/20/2020,1,Illinois,17,2,0
2/20/2020,1,Massachusetts,25,1,0
2/20/2020,1,Nebraska,31,11,0
2/20/2020,1,Texas,48,2,0
2/20/2020,1,Washington,53,1,0
2/20/2020,1,Wisconsin,55,1,0
2/21/2020,2,Arizona,4,1,0
2/21/2020,2,California,6,9,0
2/21/2020,2,Illinois,17,2,0
2/21/2020,2,Massachusetts,25,1,0
2/21/2020,2,Nebraska,31,11,0
2/21/2020,2,Texas,48,4,0
2/21/2020,2,Washington,53,1,0
2/21/2020,2,Wisconsin,55,1,0
2/22/2020,3,Arizona,4,1,0
2/22/2020,3,California,6,9,0
2/22/2020,3,Illinois,17,2,0
2/22/2020,3,Massachusetts,25,1,0
2/22/2020,3,Nebraska,31,11,0
2/22/2020,3,Texas,48,4,0
2/22/2020,3,Washington,53,1,0
2/22/2020,3,Wisconsin,55,1,0
2/23/2020,4,Arizona,4,1,0
2/23/2020,4,California,6,9,0
2/23/2020,4,Illinois,17,2,0
2/23/2020,4,Massachusetts,25,1,0
2/23/2020,4,Nebraska,31,11,0
2/23/2020,4,Texas,48,4,0
2/23/2020,4,Washington,53,1,0
2/23/2020,4,Wisconsin,55,1,0
2/24/2020,5,Arizona,4,1,0
2/24/2020,5,California,6,11,0
2/24/2020,5,Illinois,17,2,0
2/24/2020,5,Massachusetts,25,1,0
2/24/2020,5,Nebraska,31,12,0
2/24/2020,5,Texas,48,10,0
2/24/2020,5,Washington,53,5,0
2/24/2020,5,Wisconsin,55,1,0
2/25/2020,6,Arizona,4,1,0
2/25/2020,6,California,6,11,0
2/25/2020,6,Illinois,17,2,0
2/25/2020,6,Massachusetts,25,1,0
2/25/2020,6,Nebraska,31,13,0
2/25/2020,6,Texas,48,10,0
2/25/2020,6,Utah,49,1,0
2/25/2020,6,Washington,53,5,0
2/25/2020,6,Wisconsin,55,1,0
2/26/2020,7,Arizona,4,1,0
2/26/2020,7,California,6,26,0
2/26/2020,7,Illinois,17,2,0
2/26/2020,7,Massachusetts,25,1,0
2/26/2020,7,Nebraska,31,13,0
2/26/2020,7,Texas,48,10,0
2/26/2020,7,Utah,49,1,0
2/26/2020,7,Washington,53,5,0
2/26/2020,7,Wisconsin,55,1,0
2/27/2020,8,Arizona,4,1,0
2/27/2020,8,California,6,26,0
2/27/2020,8,Illinois,17,2,0
2/27/2020,8,Massachusetts,25,1,0
2/27/2020,8,Nebraska,31,13,0
2/27/2020,8,Texas,48,10,0
2/27/2020,8,Utah,49,1,0
2/27/2020,8,Washington,53,5,0
2/27/2020,8,Wisconsin,55,1,0
2/28/2020,9,Arizona,4,1,0
2/28/2020,9,California,6,27,0
2/28/2020,9,Illinois,17,2,0
2/28/2020,9,Massachusetts,25,1,0
2/28/2020,9,Nebraska,31,13,0
2/28/2020,9,Oregon,41,1,0
2/28/2020,9,Texas,48,11,0
2/28/2020,9,Utah,49,1,0
2/28/2020,9,Washington,53,7,0
2/28/2020,9,Wisconsin,55,1,0
2/29/2020,10,Arizona,4,1,0
2/29/2020,10,California,6,28,0
2/29/2020,10,Illinois,17,3,0
2/29/2020,10,Massachusetts,25,1,0
2/29/2020,10,Nebraska,31,13,0
2/29/2020,10,Oregon,41,1,0
2/29/2020,10,Texas,48,11,0
2/29/2020,10,Utah,49,1,0
2/29/2020,10,Washington,53,10,1
2/29/2020,10,Wisconsin,55,1,0
3/1/2020,11,Arizona,4,1,0
3/1/2020,11,California,6,33,0
3/1/2020,11,Florida,12,2,0
3/1/2020,11,Illinois,17,3,0
3/1/2020,11,Massachusetts,25,1,0
3/1/2020,11,Nebraska,31,13,0
3/1/2020,11,New York,36,1,0
3/1/2020,11,Oregon,41,2,0
3/1/2020,11,Rhode Island,44,2,0
3/1/2020,11,Texas,48,11,0
3/1/2020,11,Utah,49,1,0
3/1/2020,11,Washington,53,17,3
3/1/2020,11,Wisconsin,55,1,0
3/2/2020,12,Arizona,4,1,0
3/2/2020,12,California,6,38,0
3/2/2020,12,Florida,12,2,0
3/2/2020,12,Georgia,13,2,0
3/2/2020,12,Illinois,17,4,0
3/2/2020,12,Massachusetts,25,2,0
3/2/2020,12,Nebraska,31,13,0
3/2/2020,12,New Hampshire,33,1,0
3/2/2020,12,New York,36,1,0
3/2/2020,12,Oregon,41,2,0
3/2/2020,12,Rhode Island,44,2,0
3/2/2020,12,Texas,48,11,0
3/2/2020,12,Utah,49,1,0
3/2/2020,12,Washington,53,23,6
3/2/2020,12,Wisconsin,55,1,0
3/3/2020,13,Arizona,4,2,0
3/3/2020,13,California,6,45,0
3/3/2020,13,Florida,12,3,0
3/3/2020,13,Georgia,13,2,0
3/3/2020,13,Illinois,17,4,0
3/3/2020,13,Massachusetts,25,2,0
3/3/2020,13,Nebraska,31,13,0
3/3/2020,13,New Hampshire,33,2,0
3/3/2020,13,New York,36,2,0
3/3/2020,13,North Carolina,37,1,0
3/3/2020,13,Oregon,41,2,0
3/3/2020,13,Rhode Island,44,2,0
3/3/2020,13,Texas,48,11,0
3/3/2020,13,Utah,49,1,0
3/3/2020,13,Washington,53,32,10
3/3/2020,13,Wisconsin,55,1,0
3/4/2020,14,Arizona,4,2,0
3/4/2020,14,California,6,55,1
3/4/2020,14,Florida,12,3,0
3/4/2020,14,Georgia,13,2,0
3/4/2020,14,Illinois,17,4,0
3/4/2020,14,Massachusetts,25,2,0
3/4/2020,14,Nebraska,31,13,0
3/4/2020,14,New Hampshire,33,2,0
3/4/2020,14,New Jersey,34,1,0
3/4/2020,14,New York,36,11,0
3/4/2020,14,North Carolina,37,1,0
3/4/2020,14,Oregon,41,2,0
3/4/2020,14,Rhode Island,44,2,0
3/4/2020,14,Texas,48,12,0
3/4/2020,14,Utah,49,1,0
3/4/2020,14,Washington,53,47,11
3/4/2020,14,Wisconsin,55,1,0
3/5/2020,15,Arizona,4,2,0
3/5/2020,15,California,6,67,1
3/5/2020,15,Colorado,8,2,0
3/5/2020,15,Florida,12,4,0
3/5/2020,15,Georgia,13,2,0
3/5/2020,15,Illinois,17,5,0
3/5/2020,15,Maryland,24,3,0
3/5/2020,15,Massachusetts,25,3,0
3/5/2020,15,Nebraska,31,13,0
3/5/2020,15,Nevada,32,2,0
3/5/2020,15,New Hampshire,33,2,0
3/5/2020,15,New Jersey,34,2,0
3/5/2020,15,New York,36,22,0
3/5/2020,15,North Carolina,37,1,0
3/5/2020,15,Oregon,41,2,0
3/5/2020,15,Rhode Island,44,2,0
3/5/2020,15,Tennessee,47,1,0
3/5/2020,15,Texas,48,16,0
3/5/2020,15,Utah,49,1,0
3/5/2020,15,Washington,53,75,11
3/5/2020,15,Wisconsin,55,1,0
3/6/2020,16,Arizona,4,3,0
3/6/2020,16,California,6,81,1
3/6/2020,16,Colorado,8,8,0
3/6/2020,16,Florida,12,7,2
3/6/2020,16,Georgia,13,3,0
3/6/2020,16,Hawaii,15,1,0
3/6/2020,16,Illinois,17,6,0
3/6/2020,16,Indiana,18,1,0
3/6/2020,16,Kentucky,21,1,0
3/6/2020,16,Maryland,24,3,0
3/6/2020,16,Massachusetts,25,8,0
3/6/2020,16,Minnesota,27,1,0
3/6/2020,16,Nebraska,31,14,0
3/6/2020,16,Nevada,32,2,0
3/6/2020,16,New Hampshire,33,2,0
3/6/2020,16,New Jersey,34,4,0
3/6/2020,16,New York,36,44,0
3/6/2020,16,North Carolina,37,2,0
3/6/2020,16,Oklahoma,40,1,0
3/6/2020,16,Oregon,41,2,0
3/6/2020,16,Pennsylvania,42,2,0
3/6/2020,16,Rhode Island,44,3,0
3/6/2020,16,South Carolina,45,2,0
3/6/2020,16,Tennessee,47,1,0
3/6/2020,16,Texas,48,19,0
3/6/2020,16,Utah,49,3,0
3/6/2020,16,Washington,53,86,12
3/6/2020,16,Wisconsin,55,1,0
3/7/2020,17,Arizona,4,5,0
3/7/2020,17,California,6,100,1
3/7/2020,17,Colorado,8,8,0
3/7/2020,17,District of Columbia,11,1,0
3/7/2020,17,Florida,12,12,2
3/7/2020,17,Georgia,13,7,0
3/7/2020,17,Hawaii,15,1,0
3/7/2020,17,Illinois,17,6,0
3/7/2020,17,Indiana,18,1,0
3/7/2020,17,Kansas,20,1,0
3/7/2020,17,Kentucky,21,1,0
3/7/2020,17,Maryland,24,3,0
3/7/2020,17,Massachusetts,25,13,0
3/7/2020,17,Minnesota,27,1,0
3/7/2020,17,Missouri,29,1,0
3/7/2020,17,Nebraska,31,14,0
3/7/2020,17,Nevada,32,2,0
3/7/2020,17,New Hampshire,33,4,0
3/7/2020,17,New Jersey,34,4,0
3/7/2020,17,New York,36,89,0
3/7/2020,17,North Carolina,37,2,0
3/7/2020,17,Oklahoma,40,1,0
3/7/2020,17,Oregon,41,6,0
3/7/2020,17,Pennsylvania,42,4,0
3/7/2020,17,Rhode Island,44,3,0
3/7/2020,17,South Carolina,45,2,0
3/7/2020,17,Tennessee,47,1,0
3/7/2020,17,Texas,48,19,0
3/7/2020,17,Utah,49,3,0
3/7/2020,17,Vermont,50,1,0
3/7/2020,17,Virginia,51,1,0
